1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
"1,769","1,923","1,866","2,123","2,124","2,436","2,499","2,658","2,675","2,820","2,934","2,899","3,265","3,184","3,144","2,993","2,721",2740,"2,646","2,536","2,660","2,374","2,664","2,620","2,537","2,375","2,315","2,165","2,075","2,092","1,995","1,879","1,884","1,906","1,913","1,920","1,978","1,947","2,046","1,980","1,929","1,829","1,824","1,912","1,966","2,053","2,203","1,856","1,981","2,226","2,242","2,651","2,789","2,785","2,877","3,150","3,791","4,238","4,372","4,738","5,160","5,396","5,972","6,455","7,268","8,014","8,821","9,665","9,274","10,401","10,427","10,880","10,847","10,744","10,282","9,479","9,355","8,947","8,814","8,688","9,081","9,472","9,872","10,166","10,070","10,027","10,316","9,999","9,643"
"4,687","5,168","6,303","6,691","7,103","8,115","8,995","8,689","7,460","7,487","7,206","6,503","6,926","7,306","7,731","7,656","7,571","7,511","7,447","7,506","7,392","7,829","8,241","8,161","8,589","8,591","9,132","8,732","8,912","9,571","9,547","10,071","10,138","10,334","9,622","9,550","9,197","8,338","8,264","8,028","7,342","6,754","7,037","7,743","8,049","9,079","9,547","8,471","7,874","8,630","10,852","12,465","13,824","14,944","15,002","15,124","15,157","14,913","14,510","14,604","17,755","20,742","23,879","27,612","31,639","34,267","36,423","39,113","39,318","40,631","41,112","42,349","44,771","45,879","46,617","47,718","48,849","50,591","49,358","48,883","49,546","51,577","50,233","48,738","45,478","44,113","42,904","43,594","43,704"
"1,906","2,240","2,167","2,135","2,360","2,242","2,443","2,592","2,599","2,659","2,594","2,506","2,379","2,570","2,640","2,589","2,415","2,058","1,769","1,617","1,544","1,586","1,616","1,699","1,777","1,879","1,834","1,775","1,848","1,985","1,964","2,063","2,153","2,128","2,137","2,059","2,016","1,883","1,720","1,863","1,772","1,620","1,652","1,632","1,605","1,585","1,553","1,337","1,402","1,372","1,685","1,624","1,755","1,954","2,094","2,001","1,966","2,081","2,113","2,167","2,343","2,462","2,546","2,799","3,103","3,176","3,472","3,822","4,200","4,575","4,846","5,158","5,306","5,557","5,955","6,238","6,606","7,129","7,865","8,758","9,281","9,108","9,468","9,910","9,986","9,796","9,800","9,938","10,289"
"1,471","1,563","1,717",1800,1850,1900,2000,2100,2200,2300,2400,2500,"2,571","2,680","2,591","2,651","2,537","2,512","2,251","1,922","1,781","1,846","1,893","1,886","1,970","2,158","2,168","2,060","1,890","1,970","2,080","2,011","1,967","2,066","2,057","1,975","2,068","2,179","2,121","2,056","2,019","1,829","1,667","1,544","1,700","1,730","1,841","1,879","1,738","2,127","2,422","1,936","1,585","2,633","3,425","3,793","4,494","5,359","5,481","5,974","6,208","6,561","6,719","7,251","7,700","8,084","8,682","8,718","9,601","10,606","12,251","13,143","13,676","15,855","17,410","19,239","20,476","21,397","19,569","19,469","19,335","19,219","21,502","21,698","20,768","20,366","20,585","21,426","20,742"
"3,059","3,442","3,624","3,828","3,971","4,311","4,577","4,579","4,632","4,536","4,671","4,917","4,855","4,706","4,652","4,208","3,949","3,473","3,040","2,758","2,749","2,922","3,161","3,155","3,209","3,400","3,252","3,301","3,518","3,932","3,966","3,703","3,703","3,673","3,614","3,698","3,930","4,056","3,816","3,529","3,517","3,447","3,263","3,245","3,242","-3,413","3,614","3,533","3,767","3,764","4,371","4,997","5,302","5,637","5,279","5,726","6,489","7,445","8,103","8,770","9,796","10,309","11,357","12,176","13,921","14,943","15,897","16,187","16,178","17,898","19,134","22,003","23,664","25,036","26,133","27,519","28,736","30,080","30,275","31,061","30,803","30,146","29,844","30,175","30,554","30,614","30,829","31,244","31,537"
420,437,471,503,668,721,611,604,589,548,562,538,578,544,577,522,492,412,353,342,342,361,428,464,584,595,575,577,631,674,529,586,596,645,588,602,648,674,715,742,586,548,521,466,372,260,250,283,316,336,429,551,617,680,712,738,828,914,901,964,"1,129","1,111","1,207","1,272","1,328","1,425","1,478","1,548","1,541","1,764","1,999","2,230","2,541","2,734","2,951","3,105","3,328","3,323","3,620","3,164","3,509","3,563","3,431","3,517","3,605","3,716","3,678","3,609","3,642"
936,"1,000",994,"1,077","1,124","1,200","1,230","1,268","1,367","1,123","1,266","1,303","1,266","1,183","1,232","1,064",885,826,678,605,683,836,914,"1,020","1,193","1,147","1,131","1,132","1,038","1,010","1,080","1,072","1,091","1,210","1,237","1,269","1,328","1,316","1,411","1,323","1,151","1,027",971,950,937,"1,001","1,040",953,"1,006","1,040","1,251","1,304","1,284","1,242","1,193","1,402","1,477","1,584","1,551","1,567","1,733","1,954","1,963","2,066","2,278","2,286","2,406","2,435","2,467","2,667","3,006","3,223","3,329","3,588","3,632","3,816","3,865","3,972","3,976","4,038","4,330","4,204","4,329","4,424","4,392","4,498","4,511","4,594","4,929"
203,232,188,261,245,225,255,229,163,158,186,197,230,224,243,255,241,216,231,221,229,278,263,251,300,240,285,341,329,349,373,370,352,380,399,413,431,453,442,450,622,651,608,645,665,690,635,646,748,801,848,961,"1,184","1,350","1,566","1,839","2,116","2,753","3,188","3,488","3,771","4,551","4,434","4,881","5,112","5,322","5,823","6,049","6,246","6,993","7,713","8,325","9,024","9,651","9,413","10,063","10,233","10,478","10,543","11,280","11,644","12,691","13,245","12,743","12,482","12,556","12,639","12,761","12,915"
150,133,122,125,124,184,189,198,209,229,228,257,262,269,259,262,243,242,207,210,206,237,269,268,250,235,207,193,193,169,198,192,167,144,147,180,191,164,210,198,205,205,222,224,215,244,213,240,277,219,250,248,219,283,316,326,398,445,479,581,683,782,867,"1,019","1,166","1,342","1,533","1,777","1,775","2,021","2,015","2,062","2,168","2,169","2,257","2,257","2,392","2,451","2,434","2,448","2,520","2,737","2,930","2,702","2,731","2,761","2,614","2,790","2,848"
"2,213","2,383","2,518","2,846","2,865","3,187","3,263","3,212","3,289","2,975","3,110","3,079","3,457","3,650","3,570","3,662","3,543","3,299","2,972","3,041","3,227","3,541","3,958","4,190","4,301","3,991","4,005","3,640","3,625","3,796","3,782","3,944","3,848","3,996","4,101","4,284","4,572","4,573","4,594","4,614","4,839","4,912","4,614","5,065","5,382","5,704","5,272","5,279","5,357","5,219","5,682","5,618","5,386","5,422","5,539","5,564","6,861","7,990","9,192","10,363","11,335","12,020","15,969","16,936","19,439","21,128","23,483","22,653","23,831","24,632","27,066","27,490","28,361","31,121","31,493","29,784","28,142","27,891","27,246","26,757","27,359","27,371","26,827","25,953","25,382","25,007","23,834","23,225","22,452"
353,358,381,411,489,486,546,526,548,524,604,559,651,650,656,646,667,544,506,476,524,607,630,580,637,705,665,599,628,629,7241,764,888,"1,060","1,136","1,243","1,243","1,274","1,178",987,"1,002",912,892,850,857,742,642,597,726,902,999,"1,220","1,489","1,505","1,466","1,199","1,345","1,447","1,708","1,908","2,112","2,306","2,586","2,723","3,120","3,067","3,016","3,154","3,373","3,533","3,925","4,506","4,450","4,825","4,777","4,666","5,408","5,631","5,934","6,111","6,292","6,361","6,225","6,315","6,320","6,614","6,855","6,574","6,687"
"6,820","7,367","7,583","7,819","8,135","8,856","9,089","9,613","9,807","9,349","9,891","10,379","11,263","12,067","15,409","15,353","15,883","14,397","13,399","13,221","12,796","12,995","14,090","14,749","15,246","15,313","15,587","16,097","16,328","16,530","17,069","17,345","17,659","17,552","16,904","17,207","17,569",17637,"17,906","17,658","17,504","15,760","14,085","12,781","12,452","12,059","11,928","11,693","12,945","14,329","16,071","17,705","19,367","20,459","20,856","21,639","25,494","27,945","30,510","33,109","34,507","38,449","40,842","44,560","51,232","54,895","57,862","61,736","64,569","66,750","68,486","69,709","69,108","72,289","72,899","70,199","67,533","67,065","65,198","63,751","62,485","62,974","62,174","59,959","58,455","56,461","55,262","54,073","53,428"
"1,490","1,478","1,723","1,954","2,232","2,327","2,886","2,719","2,871","3,052","3,283","3,616","3,818","4,134","4,985","4,998","5,121","4,905","4,520","4,304","4,258","4,438","4,907","5,016","5,144","5,004","5,223","5,250","5,497","5,530","5,334","5,497","5,702","5,804","5,949","5,977","5,875","5,409","4,950","4,888","6,029","5,297","5,516",5700,"5,856","5,969","7,795","8,263","9,641","10,932","10,993","11,570","12,769","12,268","13,461","14,456","14,833","15,349","14,257","15,219","16,007","16,373","16,118","16,251","16,628","17,764","18,272","19,965","21,367","23,046","27,914","27,751","27,567","27,244","26,635","27,043","27,628","28,613","29,394","30,683","31,522","32,219","33,016","34,229","34,863","35,436","35,102","34,983","35,181"
304,309,302,298,330,369,433,365,363,309,268,271,255,292,318,353,319,268,216,210,210,240,243,244,242,235,224,211,209,231,228,232,241,293,270,248,228,235,235,240,208,199,182,156,161,147,132,179,155,129,173,162,194,138,136,185,218,276,350,375,375,361,380,414,404,435,441,428,446,501,544,650,715,834,866,994,"1,027","1,025","1,147","1,238","1,327","1,363","1,416","1,452","1,486","1,487","1,423","1,512","1,513"
"5,398","6,209","7,530","8,335","8,804","9,251","9,154","8,603","9,119","8,787","8,645","8,174","8,795","9,310","8,840","8,758",8260,"7,442","7,008","6,672","6,735","7,264","8,134","8,261","8,835","9,128","9,132","9,250","9,482","10,146","10,483","10,679","11,257","11,365","11,448","11,111","11,155","11,513","11,644","11,861","11,374","10,694","10,323","10,189","9,567","9,185","9,063","8,276","7,717","9,326","11,421","12,525","12,846","13,107","13,360","13,489","14,968","17,317","18,007","18,619","20,864","22,463","24,240","26,462","30,538","31,822","35,744","38,378","40,641","41,908","44,663","46,174","48,016","48,450","46,842","45,833","45,281","45,646","44,778","44,806","45,854","49,166","50,731","51,686","51,606","51,712","50,964","50,876","51,729"
"2,513","2,677","3,281","3,484",3690,"3,614","4,164","4,096","4,110","4,192","4,570","4,256","3,904","3,938","4,058","3,921","3,522","2,777","2,268","1,897","1,909","2,122","2,224","2,229","2,297","2,401","2,430","2,390","2,423","2,479","2,600","2,664","2,666","2,754","2,706","2,679","2,693","2,671","2,776","2,808","2,829","2,776",2756,"2,893","3,230","3,640","3,729","3,667","3,187","2,896","3,133","3,736","3,609","4,186","4,250","4,796","5,281","6,500","7,480","7,872","8,330","9,708","9,639","10,448","11,608","12,285","13,340","14,821","16,409","16,631","18,151","19,593","20,542","20,892","22,393","23,181","22,780","22,702","22,448","22,913","24,414","23,889","24,197","24,210","24,396","24,514","24,024","24,830","25,496"
